tool_family,channel,channel_name,unit,progress_bin,progress_center,n,physical_mae,physical_signed_error
grasp,8,head_pan,rad_delta,9,0.95,11,0.0,0.0
grasp,9,head_tilt,rad_delta,0,0.05,11,0.0,0.0
grasp,9,head_tilt,rad_delta,2,0.25,1,0.0,0.0
grasp,9,head_tilt,rad_delta,3,0.35,5,0.0,0.0
grasp,9,head_tilt,rad_delta,5,0.55,6,0.0,0.0
grasp,9,head_tilt,rad_delta,6,0.65,5,0.0,0.0
grasp,9,head_tilt,rad_delta,9,0.95,11,0.0,0.0
grasp,10,torso_lift,m_delta,0,0.05,11,0.08587702169633386,0.024307549145834693
grasp,10,torso_lift,m_delta,2,0.25,1,0.05726898424327373,0.05726898424327373
grasp,10,torso_lift,m_delta,3,0.35,5,0.07507665060460568,-0.07507665060460568
grasp,10,torso_lift,m_delta,5,0.55,6,0.042513676562036085,0.01961064483039081
grasp,10,torso_lift,m_delta,6,0.65,5,0.03991490991786123,-0.03991490991786123
grasp,10,torso_lift,m_delta,9,0.95,11,0.03495898036370901,0.0037499391854825355
grasp,11,base_forward,m_per_s,0,0.05,11,0.5690846609861844,-0.4723624804755673
grasp,11,base_forward,m_per_s,2,0.25,1,0.5197629539761692,0.5197629539761692
grasp,11,base_forward,m_per_s,3,0.35,5,0.3557945770677179,-0.3171000795904547
grasp,11,base_forward,m_per_s,5,0.55,6,0.30180540510142845,0.30180540510142845
grasp,11,base_forward,m_per_s,6,0.65,5,0.20985986441373825,0.13047749549150467
grasp,11,base_forward,m_per_s,9,0.95,11,0.2112881665181538,0.04311238988090984
grasp,12,base_yaw,rad_per_s,0,0.05,11,0.5195087871137498,0.026891707560809528
grasp,12,base_yaw,rad_per_s,2,0.25,1,0.34255695248954,0.34255695248954
grasp,12,base_yaw,rad_per_s,3,0.35,5,0.2785102383615448,-0.06426012345869092
grasp,12,base_yaw,rad_per_s,5,0.55,6,0.3560457083101694,0.02488980393235879
grasp,12,base_yaw,rad_per_s,6,0.65,5,0.2124545336097945,-0.2124545336097945
grasp,12,base_yaw,rad_per_s,9,0.95,11,0.3054771637715616,-0.2643756821338981
move,0,shoulder_pan,rad_delta,0,0.05,10,0.035368552114814523,-0.027631003465503456
move,0,shoulder_pan,rad_delta,1,0.15,1,0.028149290382862097,0.028149290382862097
move,0,shoulder_pan,rad_delta,2,0.25,8,0.015799439884722235,0.00541161224246025
move,0,shoulder_pan,rad_delta,4,0.45,5,0.029140529278665776,0.0068421336449682735
move,0,shoulder_pan,rad_delta,5,0.55,5,0.018946700785309082,0.00899289282038808
move,0,shoulder_pan,rad_delta,7,0.75,3,0.0214457870819994,0.0214457870819994
move,0,shoulder_pan,rad_delta,9,0.95,10,0.009685403764306105,0.0062427243732963685
move,1,shoulder_lift,rad_delta,0,0.05,10,0.004403224289417268,0.004131403565406799
move,1,shoulder_lift,rad_delta,1,0.15,1,0.002171491086482999,-0.002171491086482999
move,1,shoulder_lift,rad_delta,2,0.25,8,0.006577213853597639,0.006196231767535209
move,1,shoulder_lift,rad_delta,4,0.45,5,0.004362840950489044,0.0008821132779121444
move,1,shoulder_lift,rad_delta,5,0.55,5,0.0019494807720184305,0.0014222460985183704
move,1,shoulder_lift,rad_delta,7,0.75,3,0.004562006890773772,0.004562006890773772
move,1,shoulder_lift,rad_delta,9,0.95,10,0.005104416012763975,0.004921666085720063
move,2,upperarm_roll,rad_delta,0,0.05,10,0.008494702316820627,-0.00766452763229609
move,2,upperarm_roll,rad_delta,1,0.15,1,0.016241067647933954,-0.016241067647933954
move,2,upperarm_roll,rad_delta,2,0.25,8,0.03075700078625232,-0.026634359476156527
move,2,upperarm_roll,rad_delta,4,0.45,5,0.033851713398471484,-0.011258815070614223
move,2,upperarm_roll,rad_delta,5,0.55,5,0.0175176689401269,-0.009758065976202494
move,2,upperarm_roll,rad_delta,7,0.75,3,0.06249713187183564,-0.03414493777866785
move,2,upperarm_roll,rad_delta,9,0.95,10,0.023117575952783225,-0.00257504826877266
move,3,elbow_flex,rad_delta,0,0.05,10,0.0065387438237667055,-0.005074766427278514
move,3,elbow_flex,rad_delta,1,0.15,1,0.030371921509504324,-0.030371921509504324
move,3,elbow_flex,rad_delta,2,0.25,8,0.008882528357207778,-0.007975239865481851
move,3,elbow_flex,rad_delta,4,0.45,5,0.022499536946415905,-0.022499536946415905
move,3,elbow_flex,rad_delta,5,0.55,5,0.03189546022564173,-0.011766886673867702
move,3,elbow_flex,rad_delta,7,0.75,3,0.034859367919610425,-1.9296497096847148e-05
move,3,elbow_flex,rad_delta,9,0.95,10,0.007136264187065533,0.0005058638555783576
move,4,forearm_roll,rad_delta,0,0.05,10,0.008483870029449465,-0.008113455772399903
move,4,forearm_roll,rad_delta,1,0.15,1,0.008172649145126332,0.008172649145126332
move,4,forearm_roll,rad_delta,2,0.25,8,0.004928431380540131,-0.004535310063511135
move,4,forearm_roll,rad_delta,4,0.45,5,0.041759317200630905,-0.0045014488883316495
move,4,forearm_roll,rad_delta,5,0.55,5,0.0356523961480707,-0.011572565222159038
move,4,forearm_roll,rad_delta,7,0.75,3,0.03292241861345247,-0.0071114381658844705
move,4,forearm_roll,rad_delta,9,0.95,10,0.024379804758355023,0.0034456648956984275
move,5,wrist_flex,rad_delta,0,0.05,10,0.007548495382070539,-0.007407069057226182
move,5,wrist_flex,rad_delta,1,0.15,1,0.013326194882392894,-0.013326194882392894
move,5,wrist_flex,rad_delta,2,0.25,8,0.008963503176346414,-0.008963503176346414
move,5,wrist_flex,rad_delta,4,0.45,5,0.014646713696420205,-0.014223462902009492
move,5,wrist_flex,rad_delta,5,0.55,5,0.024328018128871916,-0.024328018128871916
move,5,wrist_flex,rad_delta,7,0.75,3,0.02433565316411357,-0.016655464051291344
move,5,wrist_flex,rad_delta,9,0.95,10,0.024880234827287497,0.02080836568493396
move,6,wrist_roll,rad_delta,0,0.05,10,0.04033370744902641,0.019436163720674814
move,6,wrist_roll,rad_delta,1,0.15,1,0.007227078825235378,0.007227078825235378
move,6,wrist_roll,rad_delta,2,0.25,8,0.03171686641871929,0.021661129035055637
move,6,wrist_roll,rad_delta,4,0.45,5,0.02086032666265965,0.006353433951735493
move,6,wrist_roll,rad_delta,5,0.55,5,0.028832066655159007,0.008052584156394007
move,6,wrist_roll,rad_delta,7,0.75,3,0.01833140283512572,-0.01833140283512572
move,6,wrist_roll,rad_delta,9,0.95,10,0.02856584650697187,0.02536810129182413
move,7,gripper,m_joint_target,0,0.05,10,0.011292691266629845,0.0031298890993930405
move,7,gripper,m_joint_target,1,0.15,1,0.003187659680843353,-0.003187659680843353
move,7,gripper,m_joint_target,2,0.25,8,0.0071141255123075104,0.005513917770003901
